District,SCRN,School English Name,School Chinese Name,K1 Vacancy Status,K2 Vacancy Status,K3 Vacancy Status,As At Date
CENTRAL AND WESTERN,619841-0001,CANNAN KINDERGARTEN (CENTRAL CAINE ROAD),迦南幼稚園（中環堅道）,Y,Y,Y,17/03/2026
CENTRAL AND WESTERN,322270-0001,CARITAS LING YUET SIN KINDERGARTEN,明愛凌月仙幼稚園,Y,Y,Y,17/03/2026
CENTRAL AND WESTERN,565954-0001,CARITAS NURSERY SCHOOL - KENNEDY TOWN,明愛堅尼地城幼兒學校,N,Y,Y,17/03/2026
CENTRAL AND WESTERN,564648-0001,CHIU YANG KINDERGARTEN,潮陽幼稚園,Y,Y,Y,17/03/2026
CENTRAL AND WESTERN,564850-0001,ELCHK  AMAZING GRACE NURSERY SCHOOL,基督教香港信義會基恩幼兒學校,Y,Y,Y,17/03/2026
CENTRAL AND WESTERN,565253-0001,HKSPC THOMAS TAM NURSERY SCHOOL,香港保護兒童會譚雅士幼兒學校,Y,N,Y,17/03/2026
CENTRAL AND WESTERN,564435-0001,HKYWCA TAI HON FAN NURSERY SCHOOL,香港基督教女青年會戴翰芬幼兒學校,Y,Y,Y,17/03/2026
CENTRAL AND WESTERN,536911-0001,HONG KONG TRUE LIGHT KG (CAINE ROAD),香港真光幼稚園（堅道）,P,Y,Y,17/03/2026
CENTRAL AND WESTERN,512273-0002,KAU YAN SCHOOL,救恩學校,N,N,N,17/03/2026
CENTRAL AND WESTERN,513423-0001,RHENISH MISSION SCHOOL,禮賢會學校,Y,Y,Y,17/03/2026
CENTRAL AND WESTERN,325970-0001,SACRED HEART CANOSSIAN KINDERGARTEN,嘉諾撒聖心幼稚園,N,N,N,17/03/2026
CENTRAL AND WESTERN,564354-0001,SJS BELCHER KG,聖雅各福群會寶翠園幼稚園,N,N,N,17/03/2026
CENTRAL AND WESTERN,213632-0002,ST ANTHONY'S ANGLO-CHINESE PRI SCH & KG,聖安多尼中英文小學暨幼稚園,Y,Y,Y,17/03/2026
CENTRAL AND WESTERN,210021-0001,ST CLARE'S PRIMARY SCHOOL,聖嘉勒小學,Y,Y,Y,17/03/2026
CENTRAL AND WESTERN,319813-0001,ST MATTHEW'S CHURCH KINDERGARTEN,聖馬太堂幼稚園,Y,Y,Y,17/03/2026
CENTRAL AND WESTERN,131466-0001,ST PAUL'S CHURCH KINDERGARTEN,聖保羅堂幼稚園,P,P,P,17/03/2026
CENTRAL AND WESTERN,131440-0001,ST STEPHEN'S CHURCH PRI SCH & KG,聖士提反堂小學暨幼稚園,Y,Y,Y,17/03/2026
